id,biz_name,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,web_url,web_meta_title,web_meta_desc,web_meta_keys,biz_phone
1,"Anthony's Lounge","41861 AL-17",Emelle,AL,35459,35459-2011,USA,Sumter,205,01119,,,CST,Y,32.7568,32.867577,-88.3127,-88.304426,,,,,"(205) 455-2331"
2,"Bay House Pub","28850 US-98",Daphne,AL,36526,36526-7239,USA,Baldwin,251,01003,5160,,CST,Y,30.6100,30.645625,-87.8610,-87.912369,,,,,"(251) 626-0158"
3,"Blue's Tavern","2818 Government Blvd",Mobile,AL,36606,36606-2616,USA,Mobile,251,01097,5160,,CST,Y,30.6703,30.660484,-88.1063,-88.109687,,,,,"(251) 479-7621"
4,"Frequency Breaker Club","1856 Duval St",Mobile,AL,36606,36606-1106,USA,Mobile,251,01097,5160,,CST,Y,30.6703,30.663081,-88.1063,-88.082898,,,,,"(251) 478-4047"
5,"M & P Lounge","453 Bay Shore Ave",Mobile,AL,36607,36607-1501,USA,Mobile,251,01097,5160,,CST,Y,30.6982,30.703835,-88.1057,-88.106344,,,,,"(251) 479-7410"
6,"Patches Lounge","6368 Cottage Hill Rd",Mobile,AL,36609,36609-3111,USA,Mobile,251,01097,5160,,CST,Y,30.6619,30.640321,-88.1626,-88.189951,,,,,"(251) 661-8028"
7,"19th Hole Pub & Package Store","Alabama 25",Calera,AL,35040,,USA,Shelby,205,01117,1000,,CST,Y,33.1091,33.1058221,-86.7183,-86.7393453,,,,,"(205) 668-3009"
8,"1st and 10 Restaurant and Bar","236 S Gay St",Auburn,AL,36830,36830-5422,USA,Lee,334,01081,0580,,CST,Y,32.6014,32.603044,-85.5082,-85.480083,,,,,"(334) 887-2222"
9,"4 Play","5911 Old Montgomery Hwy",Tuscaloosa,AL,35405,35405-4126,USA,Tuscaloosa,205,01125,8600,,CST,Y,33.1197,33.153028,-87.5295,-87.533788,,,,,"(205) 758-4752"
10,"4th & 23rd","401 23rd Ave",Tuscaloosa,AL,35401,35401-1058,USA,Tuscaloosa,205,01125,8600,,CST,Y,33.1664,33.211126,-87.6118,-87.567091,,,,,"(205) 248-0255"
11,"Adrian's Restaurant","1405 Sunset Dr",Guntersville,AL,35976,35976-1628,USA,Marshall,256,01095,,,CST,Y,34.3002,34.353242,-86.3298,-86.315217,,,,,"(256) 582-3106"
12,"Airport Inn","7502 5th Ave N",Birmingham,AL,35206,35206-3607,USA,Jefferson,205,01073,1000,,CST,Y,33.5702,33.562665,-86.7130,-86.736014,,,,,"(205) 836-9110"
13,"All Sports Bar & Grill","3408 Pleasant Valley Rd",Mobile,AL,36609,36609-2010,USA,Mobile,251,01097,5160,,CST,Y,30.6619,30.661687,-88.1626,-88.130630,,,,,"(251) 316-0068"
14,"Amf BAMA Lanes","520 15th St",Tuscaloosa,AL,35401,35401-4708,USA,Tuscaloosa,205,01125,8600,,CST,Y,33.1664,33.198960,-87.6118,-87.542314,,,,,"(205) 759-2302"
15,"Amf Bowling Centers","170 S Florida St",Mobile,AL,36606,36606-1836,USA,Mobile,251,01097,5160,,CST,Y,30.6703,30.681808,-88.1063,-88.101046,http://www.amfcenters.com,"AMF Bowling - Access Bowling Centers, Leagues, Tips and Parties","300 locations in the United States.  Center locator, leagues, clubs and contact details.",,"(251) 478-0485"
16,"Amf Bowling Centers - Amf Parkway Lanes","2309 Memorial Pky SW",Huntsville,AL,35801,35801-5623,USA,Madison,256,01089,3440,,CST,Y,34.7252,34.715010,-86.5616,-86.590890,http://www.amfcenters.com,"AMF Bowling - Access Bowling Centers, Leagues, Tips and Parties","300 locations in the United States.  Center locator, leagues, clubs and contact details.",,"(256) 534-1588"
17,"Amf Bowling Centers - Amf Pin Palace Lanes","2006 Country Club Ave NW",Huntsville,AL,35816,35816-1718,USA,Madison,256,01089,3440,,CST,Y,34.7400,34.744999,-86.6315,-86.601463,http://www.amfcenters.com,"AMF Bowling - Access Bowling Centers, Leagues, Tips and Parties","300 locations in the United States.  Center locator, leagues, clubs and contact details.",,"(256) 534-8438"
18,"Amf Camellia Lanes","125 Schillinger Rd N",Mobile,AL,36608,36608-5019,USA,Mobile,251,01097,5160,,CST,Y,30.6830,30.693034,-88.2974,-88.225604,,,,,"(251) 639-1221"
19,"Amf River City Lanes","3117 Highway 31 S",Decatur,AL,35603,35603-1405,USA,Morgan,256,01103,2030,,CST,Y,34.5400,34.549196,-87.0089,-86.973907,,,,,"(256) 353-3162"
20,"Amf Skyline Lanes","4120 Government Blvd",Mobile,AL,36693,36693-4806,USA,Mobile,251,01097,5160,,CST,Y,30.6274,30.633805,-88.1508,-88.145055,http://www.skylinelanes.amfcenters.com,,,,"(251) 661-1221"
21,"Ann's Place","505 8th St S",Bessemer,AL,35020,,USA,Jefferson,205,01073,1000,,CST,Y,33.4077,33.385298,-86.9494,-86.953618,,,,,"(205) 424-5734"
22,"Ann's Sports Bar","1313 3rd Ave","Phenix City",AL,36867,36867-5108,USA,Russell,334,01113,1800,,CST,Y,32.4914,32.471286,-85.0310,-84.998334,,,,,"(334) 298-5350"
23,B-Bob'S,"213 Conti St",Mobile,AL,36602,36602-2711,USA,Mobile,251,01097,5160,,CST,Y,30.6903,30.690537,-88.0467,-88.042838,,,,,"(251) 433-2262"
